dataset,k,L,method,params,tvd,outputsize
sift-128-euclidean,13,500,rank,"E2LSH(k=13, L=500, w=400)", 0.012202498945594482, 25.32
sift-128-euclidean,12,200,rank,"E2LSH(k=12, L=200, w=400)", 0.01156471341591228, 23.74
sift-128-euclidean,9,200,rank,"E2LSH(k=9, L=200, w=400)", 0.012616251384131805, 211.36
sift-128-euclidean,9,500,rank,"E2LSH(k=9, L=500, w=400)", 0.012668452599835784, 418.6
sift-128-euclidean,10,500,rank,"E2LSH(k=10, L=500, w=400)", 0.012495409300123059, 203.1
sift-128-euclidean,11,500,weighted_uniform,"E2LSH(k=11, L=500, w=400)", 0.8862793987416598, 98.5
sift-128-euclidean,12,100,weighted_uniform,"E2LSH(k=12, L=100, w=400)", 0.5904158345144875, 13.9
sift-128-euclidean,11,200,weighted_uniform,"E2LSH(k=11, L=200, w=400)", 0.8219983223773842, 44.44
sift-128-euclidean,11,100,weighted_uniform,"E2LSH(k=11, L=100, w=400)", 0.7143046088625619, 26.84
sift-128-euclidean,9,100,weighted_uniform,"E2LSH(k=9, L=100, w=400)", 0.7314831427547561, 100.08
sift-128-euclidean,10,100,weighted_uniform,"E2LSH(k=10, L=100, w=400)", 0.761633285674607, 52.88
sift-128-euclidean,12,500,weighted_uniform,"E2LSH(k=12, L=500, w=400)", 0.8548098029646509, 51.72
sift-128-euclidean,13,100,weighted_uniform,"E2LSH(k=13, L=100, w=400)", 0.3774280639652744, 8.28
sift-128-euclidean,13,200,weighted_uniform,"E2LSH(k=13, L=200, w=400)", 0.5633442167647168, 13.18
sift-128-euclidean,10,200,weighted_uniform,"E2LSH(k=10, L=200, w=400)", 0.8208107439477065, 91.22
sift-128-euclidean,13,500,weighted_uniform,"E2LSH(k=13, L=500, w=400)", 0.7598245459823701, 25.32
sift-128-euclidean,12,200,weighted_uniform,"E2LSH(k=12, L=200, w=400)", 0.6680666451709202, 23.74
sift-128-euclidean,9,200,weighted_uniform,"E2LSH(k=9, L=200, w=400)", 0.7411844361575984, 211.36
sift-128-euclidean,9,500,weighted_uniform,"E2LSH(k=9, L=500, w=400)", 0.7657962069508071, 418.6
sift-128-euclidean,10,500,weighted_uniform,"E2LSH(k=10, L=500, w=400)", 0.8514079593939288, 203.1
sift-128-euclidean,11,500,uniform,"E2LSH(k=11, L=500, w=400)", 0.9177638551165511, 98.5
sift-128-euclidean,12,100,uniform,"E2LSH(k=12, L=100, w=400)", 0.6080341392298904, 13.9
sift-128-euclidean,11,200,uniform,"E2LSH(k=11, L=200, w=400)", 0.8516739619807469, 44.44
sift-128-euclidean,11,100,uniform,"E2LSH(k=11, L=100, w=400)", 0.7471963715708709, 26.84
sift-128-euclidean,9,100,uniform,"E2LSH(k=9, L=100, w=400)", 0.8251277490943759, 100.08
sift-128-euclidean,10,100,uniform,"E2LSH(k=10, L=100, w=400)", 0.8214105685230966, 52.88
sift-128-euclidean,12,500,uniform,"E2LSH(k=12, L=500, w=400)", 0.8725028225888777, 51.72
sift-128-euclidean,13,100,uniform,"E2LSH(k=13, L=100, w=400)", 0.385245055418266, 8.28
sift-128-euclidean,13,200,uniform,"E2LSH(k=13, L=200, w=400)", 0.5702859491064491, 13.18
sift-128-euclidean,10,200,uniform,"E2LSH(k=10, L=200, w=400)", 0.8773626460920204, 91.22
sift-128-euclidean,13,500,uniform,"E2LSH(k=13, L=500, w=400)", 0.76812479358919, 25.32
sift-128-euclidean,12,200,uniform,"E2LSH(k=12, L=200, w=400)", 0.684607198643205, 23.74
sift-128-euclidean,9,200,uniform,"E2LSH(k=9, L=200, w=400)", 0.8426198429845515, 211.36
sift-128-euclidean,9,500,uniform,"E2LSH(k=9, L=500, w=400)", 0.8605405501403689, 418.6
